Time,score
26,8.1283
49,4.72268
73,4.30243
113,3.97644
141,3.60434
174,3.60434
215,3.60434
264,2.97767
322,2.97767
383,2.97767
463,2.97767
549,2.75903
649,2.67383
729,2.67383
825,2.67383
925,2.67383
1059,2.67383
1203,2.63689
1381,2.60661
1548,2.57853
1750,2.55803
1984,2.54883
2242,2.54867
2488,2.52
2798,2.45805
3127,2.45805
3450,2.45805
3823,2.45805
4286,2.4432
4765,2.4432
5305,2.41
5848,2.41
6492,2.41
7236,2.40749
8040,2.40747
8909,2.40357
9870,2.40189
10850,2.39193
12034,2.3829
13414,2.3829
14943,2.3829
16579,2.3829
18507,2.3829
20518,2.38188
22780,2.3792
