Time,score
23,21.3113
51,18.962
82,8.79771
116,8.79771
148,6.05984
189,5.73354
236,5.24205
286,5.20648
339,5.20648
406,4.22776
479,4.22776
564,3.89337
654,3.79108
754,3.79108
860,3.74235
989,3.42765
1121,3.30388
1256,3.29087
1414,3.01342
1580,2.90004
1764,2.81115
1971,2.54356
2217,2.54356
2485,2.54356
2768,2.53319
3102,2.49481
3493,2.42686
4015,2.3853
4498,2.3853
5047,2.36706
5649,2.33972
6302,2.33378
7032,2.30387
7845,2.30112
8797,2.28152
9832,2.2685
11035,2.25917
12303,2.24118
13758,2.22436
15366,2.22436
17202,2.21456
19381,2.2142
21572,2.20615
24145,2.19328
26850,2.19328
30042,2.1871
33414,2.1871
37427,2.18069
41702,2.17902
