Time,score
33,12.9542
73,6.84253
120,6.37953
172,5.21432
222,5.21432
280,4.36004
343,3.90931
415,3.70979
492,3.70979
575,3.70979
670,3.62989
776,3.62989
898,3.33351
1030,3.24579
1177,3.24579
1338,3.07982
1518,2.74677
1724,2.74677
1959,2.55564
2224,2.55564
2555,2.55564
2916,2.50756
3324,2.40441
3737,2.40441
4185,2.40203
4673,2.38116
5229,2.32568
5890,2.3241
6599,2.31435
7378,2.2706
8330,2.2706
9408,2.2497
10596,2.2497
11812,2.24699
13334,2.22838
14901,2.21851
16745,2.212
18633,2.212
21036,2.20354
23662,2.20055
26626,2.19408
29944,2.19249
33537,2.18312
37849,2.17781
42511,2.17781
