Time,score
33,35.603
61,13.1062
94,8.46717
135,6.58158
178,5.89291
226,5.6585
281,5.33806
340,5.18673
404,4.58656
480,4.25878
568,3.8259
656,3.65236
764,3.37126
882,3.37126
1005,3.31733
1151,2.91845
1302,2.91845
1472,2.91845
1668,2.78074
1895,2.78074
2142,2.73898
2430,2.56373
2738,2.56373
3083,2.52931
3470,2.46611
3885,2.41365
4384,2.37315
4915,2.32239
5522,2.30683
6229,2.28468
7002,2.26159
7786,2.26159
8677,2.21351
9689,2.19279
10808,2.19279
12503,2.19279
14607,2.16919
16629,2.16919
18449,2.16309
20465,2.15406
22611,2.14508
24925,2.13847
27511,2.13428
30403,2.13196
33653,2.11613
37449,2.11613
41770,2.11613
46595,2.11478
51943,2.10669
