Time,score
2,26.9247
2,25.9774
3,24.3105
4,23.1295
4,21.7675
4,19.8479
5,18.6439
5,15.5373
5,14.0813
6,14.0813
6,12.8656
7,11.8679
7,9.97318
8,9.97318
8,9.04781
9,8.68986
10,6.87345
10,6.87345
11,5.97921
12,5.40362
13,5.10933
14,4.81605
14,4.44138
15,4.44138
16,4.25839
16,4.25839
17,4.21476
18,4.21476
19,4.12121
20,4.00505
21,4.00505
21,3.75767
22,3.75767
23,3.75767
23,3.6586
24,3.6586
25,3.6586
26,3.65049
27,3.62704
28,3.52774
29,3.52774
30,3.52774
30,3.46213
31,3.46213
32,3.40203
33,3.39764
34,3.36708
35,3.36708
36,3.36708
37,3.36708
37,3.36708
39,3.36708
39,3.36708
40,3.32916
41,3.31108
42,3.23204
43,3.23204
44,3.23204
44,3.22511
45,3.20524
46,3.13031
47,3.01762
48,3.00828
49,3.00828
50,3.00828
51,3.00828
51,3.00828
52,3.00828
53,3.00828
54,3.00828
55,3.00828
55,3.00828
56,3.00415
57,3.00415
58,3.00271
59,3.00271
60,3.00271
61,3.00271
62,3.00271
63,2.96551
64,2.96551
65,2.96551
66,2.90995
67,2.90995
68,2.90995
69,2.90995
69,2.90995
70,2.90995
71,2.90995
72,2.90995
73,2.90995
74,2.90995
75,2.90995
76,2.90995
76,2.90995
77,2.90995
78,2.90995
79,2.90995
80,2.90995
81,2.90995
82,2.90995
83,2.90995
84,2.88412
84,2.88412
85,2.88412
86,2.88412
87,2.88412
88,2.88412
89,2.87967
90,2.87967
91,2.87967
92,2.87967
92,2.85971
93,2.84862
94,2.84862
95,2.84002
96,2.84002
97,2.84002
98,2.83413
99,2.83413
101,2.83413
102,2.83413
104,2.83413
104,2.83413
106,2.82862
107,2.82862
108,2.82862
109,2.82862
110,2.82862
111,2.82862
111,2.82862
112,2.82862
113,2.82862
114,2.82862
115,2.82862
116,2.82862
116,2.82862
117,2.80623
118,2.80623
119,2.80623
121,2.80623
123,2.80623
124,2.80158
125,2.80158
126,2.80158
127,2.80158
127,2.76817
128,2.76817
129,2.76817
130,2.76817
131,2.76817
132,2.76817
133,2.76817
134,2.76817
135,2.76817
136,2.76817
138,2.76817
139,2.76817
140,2.76817
141,2.76817
142,2.76817
144,2.76817
145,2.76817
146,2.76817
147,2.76817
149,2.76817
150,2.76817
152,2.76817
153,2.76817
154,2.76817
156,2.76817
157,2.76817
158,2.76817
159,2.76817
160,2.76817
161,2.76817
162,2.76817
163,2.76652
163,2.76652
165,2.76652
165,2.76652
166,2.76652
168,2.76652
169,2.76652
169,2.76652
170,2.76652
171,2.76652
172,2.76652
173,2.76652
174,2.76652
175,2.76652
176,2.76652
177,2.76652
178,2.76652
180,2.76652
181,2.76652
182,2.76652
184,2.74006
185,2.74006
186,2.74006
188,2.74006
189,2.74006
190,2.74006
192,2.74006
193,2.74006
194,2.74006
195,2.74006
195,2.74006
197,2.74006
198,2.74006
