Time,score
18,8.1283
41,4.72268
67,4.58385
93,3.86724
122,3.62934
158,3.62934
193,3.62934
231,3.148
274,3.148
323,3.148
377,2.98579
444,2.98579
511,2.92729
586,2.87169
669,2.83785
768,2.83302
872,2.70129
990,2.64845
1119,2.62196
1266,2.55195
1443,2.5424
1631,2.5424
1836,2.47859
2052,2.47859
2313,2.47859
2600,2.47859
2983,2.44766
3418,2.44046
3860,2.44046
4346,2.41274
4856,2.41274
5435,2.40856
6049,2.39856
6807,2.39549
7682,2.39259
8608,2.38768
9666,2.38437
10842,2.38144
12174,2.37435
13668,2.37379
15289,2.37214
17057,2.37117
19141,2.36985
21371,2.36689
23954,2.36681
