Time,score
63,26.2356
143,13.9944
239,9.86481
343,7.78553
467,7.03663
596,6.02909
746,5.75521
917,5.17962
1102,4.72141
1307,4.64445
1540,4.06944
1794,3.99636
2081,3.65373
2397,3.65373
2749,3.39453
3147,3.32427
3609,3.08315
4147,3.02874
4734,2.90801
5390,2.80765
6166,2.67665
7059,2.64853
8079,2.48117
9213,2.48117
10419,2.36411
11774,2.30814
13260,2.26613
14992,2.2604
16902,2.19624
19040,2.15226
21564,2.14881
24185,2.12987
27104,2.10381
30318,2.08647
34001,2.07158
37961,2.0567
42422,2.03561
47022,2.031
52030,2.01498
57771,2.0075
63946,2.00028
71495,1.98297
80385,1.98297
90101,1.9766
100505,1.96771
