Time,score
8,40.8848
11,40.8029
14,40.6266
17,40.4707
20,40.221
22,40.0804
25,39.7144
28,39.2099
31,38.8974
33,38.4814
36,38.2205
39,38.1353
42,37.9015
46,37.7762
49,37.539
52,36.5785
54,36.089
56,35.6304
60,35.1026
63,34.9111
65,34.4063
69,34.2759
71,33.935
74,33.897
77,33.7608
80,33.5087
82,33.2319
85,32.3252
87,31.9386
89,31.8257
91,31.5646
93,31.2799
95,31.0976
97,30.8882
99,30.6783
101,29.9279
103,29.8132
105,29.7558
108,29.6398
111,29.2656
113,29.2347
115,29.056
118,28.7487
121,28.5943
123,28.4673
126,28.2267
129,28.183
131,28.0288
134,27.889
136,27.7985
139,27.6886
142,27.6413
144,27.4226
147,27.259
149,27.1494
152,26.9497
155,26.8396
157,26.5687
160,26.4411
163,26.2741
167,25.8815
170,25.7643
172,25.6071
175,25.3476
177,25.2231
180,24.8152
182,24.6904
185,24.5544
188,24.4054
190,24.2208
193,24.1772
196,23.8337
198,23.5486
201,23.344
204,23.0784
206,22.9325
209,22.7603
211,22.2096
215,22.2096
218,22.0079
222,21.8535
225,21.7205
227,21.6548
230,21.5832
233,21.2354
236,21.2354
238,20.9086
242,20.824
245,20.616
248,20.4481
251,20.2442
254,20.0724
257,19.9212
259,19.6186
263,19.4031
266,19.3103
268,19.2547
271,19.0189
274,18.9688
277,18.7731
280,18.649
282,18.4864
284,18.2947
288,18.1184
290,18.0894
293,17.958
296,17.7619
298,17.7053
300,17.6449
303,17.4338
306,17.3677
309,17.0467
311,16.9376
314,16.6581
317,16.4574
319,16.1429
321,16.0694
324,15.943
328,15.8667
331,15.6486
333,15.5271
336,15.4936
340,15.4284
342,15.2166
344,15.0666
348,15.0222
352,14.8954
354,14.8118
357,14.7333
360,14.6276
363,14.5608
365,14.4857
367,14.4191
370,14.3529
372,14.2185
375,14.0381
377,13.9482
380,13.8995
383,13.5318
386,13.5318
388,13.4621
391,13.3268
394,13.1507
397,13.089
400,13.0596
403,12.9409
406,12.8925
409,12.8065
412,12.6876
416,12.6876
418,12.591
421,12.5628
423,12.4514
426,12.3736
430,12.2859
433,12.1784
436,12.139
439,12.0514
442,11.8436
445,11.7673
448,11.7008
451,11.6121
454,11.5327
456,11.4393
460,11.3641
464,11.3166
467,11.2441
470,11.146
473,11.0862
476,10.9918
479,10.9194
483,10.8338
486,10.7182
489,10.6457
491,10.6342
494,10.4932
497,10.2897
500,10.2308
504,10.1995
508,10.1058
511,10.0295
515,9.93064
519,9.91036
523,9.80276
527,9.75299
530,9.69147
534,9.65813
537,9.58621
541,9.47475
544,9.45042
548,9.39778
552,9.32449
555,9.27598
559,9.22413
562,9.10917
565,9.07015
569,9.06797
572,8.99561
576,8.95037
581,8.90535
586,8.71871
590,8.71871
594,8.65942
599,8.6283
602,8.40927
606,8.36295
612,8.36295
617,8.24013
623,8.23496
627,8.14643
632,8.09864
636,8.02462
641,7.96548
646,7.96159
649,7.91032
653,7.85789
657,7.84719
660,7.79924
666,7.61751
669,7.45997
674,7.45997
678,7.40799
682,7.36492
687,7.23153
692,7.19323
696,7.11031
701,7.10329
705,7.04067
710,6.99268
714,6.9611
717,6.93173
721,6.86944
725,6.82459
730,6.78191
734,6.76253
738,6.69004
742,6.69004
746,6.61546
749,6.60583
753,6.54621
757,6.45153
760,6.41492
