Time,score
53,14.7002
108,7.46537
166,5.4752
243,4.91095
324,4.28374
406,4.28374
498,4.24009
595,3.55103
712,3.53956
834,3.53459
981,3.48879
1150,3.19565
1341,3.05139
1542,3.05139
1774,2.96544
2063,2.7506
2354,2.69433
2687,2.64471
2998,2.53059
3382,2.53059
3817,2.48668
4295,2.48054
4825,2.41155
5411,2.3178
6047,2.2919
6776,2.28943
7585,2.23221
8476,2.23221
9467,2.21714
10586,2.21708
11828,2.17883
13191,2.17883
14679,2.17883
16356,2.16544
18102,2.15489
20118,2.15489
22390,2.15102
24858,2.14148
27519,2.12765
30525,2.12765
34213,2.12348
38017,2.11862
42304,2.11862
47277,2.11383
52775,2.11034
