Time,score
11,4.94427
21,4.10573
32,3.51627
44,3.51627
58,3.51627
73,3.51627
89,3.47832
108,2.94167
129,2.94167
153,2.94167
179,2.94167
208,2.94167
240,2.88169
279,2.88169
319,2.88169
363,2.81249
420,2.78348
477,2.74473
545,2.74473
622,2.74473
698,2.72308
788,2.71734
884,2.69423
1004,2.69423
1144,2.69423
1272,2.68116
1415,2.67296
1579,2.66817
1774,2.66643
1994,2.66305
2232,2.66305
2504,2.65704
2847,2.65704
3232,2.65704
3678,2.65351
4166,2.64853
4708,2.64516
5334,2.64516
5978,2.64516
6698,2.64502
7592,2.64362
8537,2.64362
9616,2.64309
10834,2.63978
12140,2.63926
