Time,score
7,6.61015
14,5.87839
22,4.61153
30,4.54056
40,3.85453
51,3.85453
63,3.85453
76,3.85453
89,3.38096
106,3.14489
125,3.14489
144,3.14489
166,3.14489
191,3.08817
219,2.86822
253,2.86822
291,2.84558
331,2.84558
373,2.8294
425,2.8294
480,2.7706
554,2.73844
621,2.73844
698,2.73844
781,2.73844
884,2.72245
1002,2.7109
1148,2.68013
1291,2.68013
1454,2.68013
1633,2.66886
1816,2.66886
2031,2.66886
2274,2.66771
2567,2.65689
2905,2.65682
3239,2.65682
3580,2.65292
3974,2.65234
4468,2.64933
4979,2.64846
5576,2.64707
6240,2.64531
7003,2.64531
7877,2.64319
8902,2.64319
9964,2.64262
11120,2.64127
12382,2.64062
