Time,score
12,9.50467
25,6.34793
41,4.50327
57,4.50327
77,4.50327
98,4.29473
122,4.29473
148,4.01048
176,4.01048
209,3.52588
248,3.52588
285,3.42539
328,3.22701
384,3.06199
445,2.80033
507,2.80033
579,2.80033
656,2.80033
741,2.76643
835,2.66841
945,2.61296
1072,2.59477
1217,2.54474
1365,2.54474
1531,2.54474
1737,2.51274
1961,2.51274
2192,2.49265
2436,2.47806
2722,2.47806
3063,2.44444
3420,2.41857
3839,2.41857
4364,2.41857
4886,2.41857
5407,2.41164
6113,2.39906
6816,2.39025
7656,2.39025
8595,2.38247
9537,2.38247
10622,2.37971
11832,2.37294
13138,2.37294
14616,2.37276
16181,2.36729
17972,2.36647
20033,2.36602
22912,2.36511
