Time,score
45,36.8404
98,25.361
162,17.6485
239,12.5758
328,11.7502
421,10.3951
526,8.09313
646,7.9915
764,7.9915
900,7.02602
1052,6.26337
1222,5.25719
1417,4.40037
1630,4.3175
1866,4.06823
2140,3.78752
2475,3.5922
2845,3.48255
3263,3.33529
3720,3.05982
4232,3.05982
4791,2.96756
5430,2.8617
6104,2.73932
6804,2.62868
7588,2.54844
8484,2.41303
9500,2.38808
10590,2.3667
11892,2.31758
13268,2.30931
14765,2.28188
16485,2.20784
18402,2.17307
20565,2.12999
22884,2.11661
25514,2.08307
28436,2.08307
32182,2.07818
36782,2.0656
42059,2.04178
47551,2.03085
53396,2.02258
59692,2.01165
65995,1.99577
72921,1.98503
80661,1.98276
89356,1.97973
99028,1.97177
