Time,score
2,38.6678
3,38.1538
4,35.4249
5,34.2082
6,34.1503
7,33.6072
9,33.332
10,31.4365
11,31.0195
12,29.9809
13,28.8577
14,28.7875
15,28.3981
16,28.2935
17,27.8802
18,27.7565
20,27.5817
21,27.3363
22,27.1469
23,26.9121
24,26.8578
25,26.3596
26,26.03
27,25.66
29,25.5213
30,24.9551
31,24.3074
32,23.3662
33,23.2774
34,22.9465
35,22.2119
36,22.0454
38,21.9568
39,21.721
40,21.587
41,21.2
42,20.6835
43,20.3441
45,20.1102
46,19.9903
47,19.7207
49,19.397
50,18.691
51,18.4318
53,18.2894
54,17.9899
56,17.705
57,17.2283
58,17.155
60,16.7126
61,16.618
63,15.8574
64,15.6936
66,15.4292
67,15.1659
68,14.7196
70,14.4826
71,14.3991
73,14.1693
74,14.038
75,13.8551
76,13.6783
78,13.5577
79,13.4892
81,13.0852
82,13.0484
83,12.8861
84,12.6212
86,12.5124
87,12.3573
89,12.1321
90,12.082
91,11.9047
93,11.8901
94,11.6427
96,11.495
97,11.3466
99,11.2446
100,10.8975
101,10.6462
103,10.4622
104,9.91074
106,9.90923
108,9.65669
109,9.51699
111,9.44329
112,9.29636
114,9.16437
116,8.9913
117,8.76725
119,8.58843
121,8.51448
122,8.42694
124,8.27064
125,8.23705
127,8.09299
128,7.99227
130,7.94076
132,7.81332
134,7.62517
135,7.5825
138,7.52262
140,7.376
141,7.30828
143,7.08559
145,7.02156
147,6.99551
148,6.72816
151,6.66697
152,6.65776
154,6.64799
156,6.40204
158,6.34292
160,6.2386
162,6.11725
164,5.99993
166,5.98563
168,5.89784
170,5.72086
172,5.70053
175,5.67802
177,5.54376
179,5.45992
181,5.34723
184,5.34723
186,5.34055
187,5.30845
190,5.25596
192,5.18874
194,5.18507
195,5.17298
197,5.15734
200,5.00013
202,4.95618
204,4.78523
206,4.73959
208,4.73959
210,4.62184
214,4.61185
216,4.49407
218,4.49407
221,4.42878
224,4.42878
226,4.4143
229,4.4143
231,4.34005
233,4.32146
236,4.32146
238,4.29323
241,4.29323
243,4.2739
246,4.26716
248,4.25309
250,4.23159
253,4.18229
256,4.16324
259,4.12835
262,4.09196
265,4.06994
268,4.06227
271,3.99496
274,3.96092
277,3.96092
280,3.93767
283,3.93345
285,3.91645
288,3.91645
291,3.90912
293,3.84529
296,3.84529
298,3.82843
301,3.73951
304,3.73951
307,3.73951
310,3.73951
312,3.7058
314,3.66797
316,3.57587
320,3.53927
323,3.53927
325,3.53113
328,3.46585
330,3.43858
334,3.43858
337,3.37706
339,3.37706
341,3.31055
344,3.31055
346,3.31055
349,3.30554
352,3.30554
354,3.30554
357,3.30554
360,3.29776
362,3.29776
365,3.28327
369,3.23926
371,3.23926
373,3.22036
376,3.22036
378,3.22036
381,3.22036
384,3.22036
387,3.22036
390,3.20757
392,3.20757
396,3.19567
399,3.18191
401,3.18191
404,3.17466
408,3.1711
410,3.15919
413,3.15229
416,3.12738
419,3.12738
422,3.10283
425,3.10283
427,3.10283
429,3.10283
433,3.09811
435,3.08962
438,3.08962
441,3.08962
444,3.06225
446,3.06225
450,3.06225
453,3.06225
457,3.03069
459,3.03069
463,3.01213
465,2.96981
468,2.95321
471,2.95321
474,2.95321
477,2.95321
480,2.95321
483,2.95321
486,2.94776
489,2.94776
492,2.94776
495,2.94776
498,2.946
501,2.946
505,2.946
507,2.92786
509,2.92786
513,2.87462
516,2.87462
519,2.87462
521,2.87462
524,2.87462
526,2.87462
528,2.87087
531,2.87087
534,2.87087
537,2.86788
540,2.86016
542,2.86016
544,2.86016
547,2.84598
551,2.84598
553,2.84173
556,2.84173
558,2.84173
561,2.8172
564,2.8172
567,2.8172
569,2.8172
573,2.8172
574,2.81067
577,2.81067
581,2.7962
583,2.7962
587,2.7962
591,2.7713
593,2.7713
597,2.76934
600,2.76934
604,2.76934
607,2.75956
610,2.74904
613,2.74904
617,2.7465
620,2.7465
625,2.73936
629,2.72084
632,2.72084
635,2.72084
639,2.72084
643,2.72084
646,2.72084
648,2.72084
652,2.70522
656,2.70522
659,2.70522
662,2.69545
665,2.68461
668,2.68461
670,2.68461
672,2.68461
675,2.68461
679,2.68461
682,2.67817
684,2.67469
687,2.67469
690,2.67469
692,2.64718
696,2.64718
700,2.62238
702,2.61717
706,2.61717
708,2.61717
712,2.61535
714,2.61535
718,2.60541
720,2.60541
722,2.57778
726,2.57778
729,2.57778
731,2.57778
734,2.57778
736,2.57778
739,2.57778
742,2.57415
745,2.57415
748,2.57415
751,2.57415
753,2.56688
755,2.56688
758,2.56688
761,2.56688
765,2.56688
768,2.56505
770,2.56505
773,2.5584
776,2.55362
778,2.55362
781,2.55362
784,2.5179
787,2.5179
790,2.5179
793,2.5179
795,2.5179
798,2.5179
801,2.5179
805,2.5179
807,2.5179
809,2.5179
812,2.5179
814,2.5179
817,2.5179
820,2.5179
823,2.5179
826,2.51325
829,2.51325
832,2.51325
834,2.49772
837,2.49772
840,2.49772
842,2.49772
846,2.49772
849,2.4952
852,2.48481
856,2.48481
858,2.48481
861,2.48481
863,2.48481
866,2.48481
870,2.48481
873,2.48481
875,2.48481
878,2.48481
881,2.48481
884,2.48481
886,2.47806
889,2.47806
892,2.47475
896,2.47475
899,2.46054
902,2.46054
905,2.46054
908,2.46054
911,2.46054
915,2.46054
919,2.46054
921,2.46054
924,2.45772
928,2.45772
933,2.45772
935,2.45772
939,2.45772
943,2.4469
945,2.4469
948,2.44664
951,2.44664
954,2.44664
958,2.44664
