Time,score
8,4.97858
17,4.12115
28,3.6255
38,3.6255
48,3.6255
61,3.4829
73,3.27837
86,2.95681
104,2.95681
131,2.94081
152,2.94081
173,2.86258
196,2.85183
223,2.76358
253,2.76358
294,2.76358
333,2.74485
390,2.71792
436,2.71792
499,2.7084
561,2.7084
621,2.70538
695,2.70538
778,2.68484
880,2.67405
980,2.67405
1112,2.65784
1235,2.65784
1373,2.65784
1531,2.65584
1689,2.65584
1878,2.65584
2087,2.65584
2324,2.65086
2583,2.64939
2878,2.64939
3206,2.64939
3574,2.64881
3986,2.6471
4442,2.64548
4924,2.64477
5469,2.64477
6130,2.64182
6833,2.64182
7657,2.64086
