Time,score
2,32.7069
2,30.9272
3,29.1062
4,28.375
4,27.2729
5,26.6518
6,26.0656
6,25.5657
7,24.7783
7,24.1573
8,23.2532
9,22.6859
9,22.6223
10,21.9391
11,21.4817
12,21.048
13,20.0769
14,19.3434
15,18.9543
15,18.4992
16,17.9277
17,17.2481
17,16.9604
18,16.3353
19,16.1995
20,15.7785
21,15.3342
22,14.7649
22,14.2196
23,13.3497
24,13.1501
24,12.386
25,11.8811
26,11.3172
26,11.0771
27,10.6226
28,10.245
29,10.0796
30,9.24354
31,8.83775
32,8.83775
32,8.39307
33,7.98696
34,7.98696
35,7.66735
36,7.49733
37,7.30455
38,7.30455
40,7.27357
41,7.21701
42,6.88931
43,6.49356
44,6.48252
45,6.04967
46,5.59329
47,5.54605
48,5.5135
50,5.38642
51,5.27539
53,5.26789
54,5.02496
55,4.8336
56,4.59919
57,4.39228
59,4.32182
60,4.08764
61,4.08764
62,3.80093
63,3.64574
65,3.64574
66,3.64574
67,3.64574
69,3.48273
70,3.48273
72,3.37952
73,3.37952
74,3.26807
75,3.26807
77,3.26807
78,3.26807
79,3.26255
80,3.22383
81,3.1985
83,3.09837
84,3.09837
85,3.09049
87,3.09049
89,3.09049
90,2.9746
92,2.9746
94,2.9746
95,2.9746
96,2.9746
97,2.9746
98,2.9746
100,2.9746
101,2.9746
103,2.92974
104,2.92351
106,2.86247
107,2.86247
109,2.86247
110,2.86247
112,2.86247
113,2.86247
115,2.85329
117,2.85329
118,2.85108
119,2.85108
121,2.85108
123,2.81062
124,2.81062
126,2.81062
127,2.81062
129,2.81062
131,2.81062
132,2.81062
133,2.77547
135,2.7725
137,2.7725
138,2.7725
140,2.75814
142,2.75081
144,2.72655
145,2.72655
147,2.66726
148,2.66726
150,2.66726
152,2.66726
153,2.66726
155,2.66214
157,2.62724
159,2.62724
160,2.62724
162,2.62724
164,2.62724
166,2.62724
168,2.62724
169,2.62724
171,2.62422
173,2.62422
174,2.62422
176,2.62422
178,2.62422
179,2.62422
182,2.62422
183,2.62422
185,2.62422
186,2.62422
187,2.62422
189,2.62259
191,2.62259
193,2.62259
195,2.62259
197,2.62259
198,2.62259
199,2.62259
201,2.62259
202,2.62259
203,2.62259
205,2.61878
207,2.61878
209,2.61878
211,2.61878
213,2.61878
214,2.61878
217,2.61814
219,2.61814
221,2.61814
222,2.61814
224,2.61814
226,2.61814
228,2.59977
230,2.59977
232,2.59977
233,2.59977
235,2.59977
238,2.59977
239,2.59977
241,2.59977
242,2.59977
243,2.59162
245,2.59162
247,2.59162
248,2.59162
250,2.59162
252,2.59162
253,2.59162
255,2.55692
257,2.55692
259,2.55692
261,2.55692
263,2.55692
264,2.55692
265,2.55692
267,2.55692
269,2.55565
270,2.54506
272,2.54506
274,2.54506
275,2.54506
277,2.53849
278,2.53849
280,2.53849
282,2.53849
284,2.53849
286,2.53849
287,2.53849
289,2.53849
291,2.53849
293,2.53849
295,2.53849
297,2.53849
299,2.53849
301,2.53849
303,2.53849
305,2.52874
307,2.52874
309,2.52874
311,2.52874
312,2.52874
314,2.52874
317,2.52874
319,2.52874
322,2.52874
323,2.52874
325,2.52571
328,2.52571
330,2.52571
332,2.52571
334,2.51425
336,2.51425
338,2.51425
340,2.51425
342,2.51425
345,2.51425
348,2.51425
350,2.51418
352,2.50488
353,2.49565
355,2.49565
357,2.49565
358,2.49565
361,2.49565
362,2.49565
365,2.49565
367,2.49565
369,2.49565
371,2.49565
373,2.49565
375,2.49565
377,2.49565
379,2.49565
381,2.49447
383,2.49447
385,2.48211
387,2.48211
389,2.47675
390,2.47675
392,2.47675
394,2.47675
396,2.47402
398,2.47402
399,2.47402
400,2.47402
403,2.47402
405,2.47402
407,2.47222
409,2.47222
411,2.47222
412,2.47222
414,2.47222
416,2.47222
419,2.47222
420,2.47222
422,2.47222
424,2.47222
426,2.47222
428,2.47222
430,2.45545
432,2.45545
433,2.45545
435,2.45545
436,2.45545
438,2.45135
441,2.45135
443,2.45135
446,2.45135
447,2.45135
449,2.45135
450,2.45135
451,2.45135
454,2.45135
455,2.45135
457,2.45135
459,2.44957
461,2.44957
463,2.44957
465,2.44957
467,2.44957
469,2.44957
470,2.44957
472,2.44957
474,2.44868
476,2.44868
479,2.44868
480,2.44189
482,2.44189
484,2.44189
486,2.44189
487,2.44189
489,2.44189
491,2.44189
493,2.44189
495,2.44189
497,2.44084
499,2.44084
501,2.44084
502,2.44084
