Time,score
432,57.7316
844,57.7316
1352,49.4291
1835,48.3945
2377,46.6388
2982,42.3019
3645,37.8986
4526,33.8858
5477,29.4865
6511,27.9238
7834,24.4801
9140,21.5527
10822,18.6978
12889,16.845
14527,14.4767
16655,13.003
18885,11.7547
21570,10.5113
24749,10.0594
27836,8.46308
31301,7.34785
35162,6.64894
39505,6.27182
44085,5.76108
49795,5.13036
57176,4.80677
66097,4.39933
74907,4.03842
84955,3.75709
96413,3.55989
106526,3.37673
117897,3.21328
133019,3.00318
150688,2.86219
167323,2.74537
185252,2.6095
211515,2.50717
236916,2.40444
261335,2.32742
292561,2.25041
323011,2.21121
356891,2.13726
398248,2.10641
442514,2.05102
492247,2.00234
552536,1.97043
612640,1.93555
679015,1.91338
753757,1.89216
