Time,score
312,0.275345
322,0.275161
332,0.275145
341,0.273843
350,0.273843
361,0.273087
370,0.273087
381,0.272864
390,0.272493
400,0.271111
410,0.271111
420,0.270891
430,0.270891
440,0.270131
450,0.270129
459,0.270004
469,0.269592
479,0.269592
489,0.269127
498,0.267687
508,0.267685
517,0.267639
527,0.26683
536,0.266568
545,0.266053
554,0.265966
564,0.264933
573,0.264518
582,0.264346
592,0.263563
601,0.263503
611,0.263501
621,0.262449
631,0.262238
640,0.262229
650,0.261503
661,0.261502
671,0.260454
680,0.260416
690,0.260332
700,0.260092
710,0.257994
720,0.257266
729,0.257228
739,0.257158
749,0.257155
759,0.25715
768,0.257049
778,0.254971
788,0.254796
797,0.254498
807,0.254491
816,0.253975
825,0.248048
835,0.248047
844,0.24803
853,0.247798
862,0.247797
872,0.247712
881,0.246783
892,0.246782
902,0.246672
912,0.246464
922,0.246463
931,0.246463
941,0.240115
951,0.240113
961,0.240007
970,0.239906
980,0.239901
989,0.239806
999,0.239303
1008,0.235979
1018,0.235977
1028,0.230876
1038,0.230873
1048,0.230784
1059,0.229781
1069,0.229777
1079,0.229742
1089,0.229733
1099,0.227899
1109,0.227899
1119,0.227873
1129,0.227637
1139,0.226428
1148,0.226428
1158,0.226402
1168,0.226402
1177,0.22627
1186,0.22627
1196,0.226222
1206,0.225379
1215,0.223449
1225,0.222827
1234,0.222827
1244,0.222811
1253,0.222394
1264,0.219702
1274,0.219701
1284,0.2189
1294,0.215397
1304,0.215359
1314,0.215253
1324,0.212274
1334,0.21201
1344,0.211992
1354,0.211388
1364,0.211387
1374,0.211367
1383,0.211288
1393,0.211078
1402,0.211077
1412,0.211062
1422,0.211039
1432,0.210908
1442,0.210908
1452,0.210905
1462,0.210757
1472,0.210731
1482,0.21043
1492,0.210423
1501,0.210423
1512,0.210391
1522,0.210384
1532,0.210029
1541,0.210029
1550,0.210028
1560,0.201039
1569,0.201039
1579,0.200365
1588,0.200365
1598,0.200365
1608,0.195589
1617,0.195588
1627,0.194704
1636,0.194696
1646,0.194684
1656,0.194378
1666,0.194376
1676,0.194352
1686,0.194151
1695,0.193952
1705,0.192734
1714,0.192573
1724,0.192546
1734,0.19246
1744,0.192135
1754,0.192127
1763,0.191925
1773,0.19133
1784,0.19133
1794,0.190893
1804,0.190858
1814,0.190649
1823,0.190649
1833,0.19063
1844,0.190624
1853,0.190609
1864,0.190609
1875,0.188988
1884,0.188983
1893,0.188982
1903,0.188979
1914,0.188901
1923,0.1889
1932,0.188882
1942,0.188778
1952,0.188541
1962,0.188169
1971,0.188134
1980,0.188129
1990,0.188127
1999,0.188107
2007,0.188098
2015,0.187968
2023,0.187967
2031,0.187923
2038,0.187921
2045,0.18792
2053,0.187864
2061,0.187863
2070,0.185754
2076,0.185754
2078,0.185753
2081,0.185724
2083,0.185655
2087,0.185628
2091,0.185628
2095,0.185628
2100,0.185628
2101,0.185628
2104,0.185628
2106,0.185628
2109,0.185589
2112,0.185589
2115,0.185589
2119,0.185589
2123,0.185589
2126,0.185588
2130,0.185588
2132,0.185588
2134,0.185588
2136,0.185588
2139,0.185528
2143,0.185528
2146,0.185528
2149,0.1855
2154,0.1855
2157,0.1855
2162,0.185053
2169,0.185039
2177,0.185038
2187,0.185033
2197,0.18501
2206,0.184965
2215,0.184965
2225,0.184965
2234,0.184856
2244,0.184856
2253,0.184855
2263,0.184126
2273,0.184126
2283,0.183783
2292,0.180032
2301,0.180032
2311,0.18001
2320,0.179729
2329,0.179726
2339,0.179726
2349,0.17875
2359,0.178698
2368,0.178568
2377,0.178148
2387,0.177927
2397,0.177921
2406,0.177536
2416,0.177256
2426,0.17718
2436,0.177148
2446,0.177146
2455,0.177142
2465,0.177117
2474,0.176782
2483,0.176774
2493,0.176629
2502,0.176629
2510,0.175193
2515,0.171723
2523,0.171723
2533,0.171716
2543,0.171711
2553,0.171628
2562,0.171627
2572,0.171623
2581,0.171614
2591,0.171612
2601,0.171612
2610,0.168296
2620,0.168289
2630,0.168228
2639,0.166538
2648,0.166537
2658,0.166526
2668,0.166341
2678,0.16634
2688,0.166136
2698,0.165994
2708,0.165887
2718,0.165877
2727,0.165152
2736,0.165142
2745,0.164153
2752,0.163421
2762,0.162966
2772,0.162962
2781,0.162959
2791,0.162959
2800,0.162951
2810,0.162862
2820,0.162861
2829,0.162764
2839,0.160508
2849,0.160508
2858,0.160507
2867,0.159812
2877,0.159731
2886,0.15963
2896,0.159592
2905,0.159576
2915,0.159505
2924,0.159504
2934,0.15949
2943,0.159485
2953,0.15205
2962,0.15205
2972,0.152049
2981,0.152046
2991,0.152041
3001,0.151619
3010,0.151617
3020,0.151607
3029,0.151598
3039,0.151598
3049,0.151589
3058,0.151561
3068,0.151561
3077,0.151561
3087,0.151555
3096,0.151554
3106,0.15155
3115,0.151236
3125,0.151236
3134,0.15123
3144,0.151223
3153,0.151152
3163,0.151152
3172,0.151146
3183,0.151137
3192,0.151124
3202,0.151112
3211,0.151097
3220,0.151091
3230,0.150978
3240,0.150978
3250,0.150973
3259,0.150841
3269,0.150837
3279,0.150821
3288,0.150813
3298,0.150811
3307,0.150717
3317,0.150706
3327,0.150706
3336,0.150706
3346,0.15069
3355,0.150651
3364,0.15062
3373,0.149689
3383,0.149689
3392,0.149684
3402,0.149674
3410,0.149674
3418,0.149182
3424,0.149182
3429,0.149182
3432,0.149173
3438,0.149165
3441,0.149165
3446,0.149165
3451,0.149086
3455,0.149086
3458,0.149086
3462,0.149086
3465,0.149086
3469,0.149052
3473,0.149052
3478,0.149052
3484,0.149048
3488,0.149048
3493,0.149048
3499,0.147992
3506,0.147992
3515,0.147886
3524,0.1475
3531,0.1475
3534,0.147279
3539,0.147279
3543,0.147243
3550,0.147243
3555,0.147243
3559,0.147242
3562,0.147221
3568,0.146348
3572,0.146331
3576,0.146331
3579,0.146331
3585,0.14633
3587,0.146176
3593,0.146176
3598,0.146165
3602,0.146165
3606,0.146164
3610,0.146137
3615,0.146137
3619,0.146132
3621,0.146132
3626,0.146122
3631,0.14611
3635,0.14611
3639,0.144629
3646,0.144629
3651,0.144629
3655,0.144629
3659,0.144629
3663,0.144629
3666,0.144629
3670,0.144627
3674,0.144601
3678,0.144341
3682,0.144341
3687,0.144341
3692,0.14434
3695,0.14429
3697,0.144105
3701,0.144102
3704,0.144078
3709,0.144078
3714,0.144078
3720,0.143933
3724,0.143933
3728,0.14373
3730,0.14373
3734,0.143552
3738,0.143543
3742,0.143543
3748,0.143543
3752,0.143543
3755,0.143541
3761,0.142256
3767,0.142034
3772,0.142034
3777,0.142034
3780,0.142028
3784,0.142028
3788,0.142028
3794,0.142028
3801,0.142028
3805,0.142028
3808,0.14159
3812,0.14159
3818,0.141381
3821,0.141381
3824,0.141381
3828,0.141381
3832,0.141381
3836,0.141374
3839,0.141374
3842,0.141002
3847,0.141002
3851,0.141002
3854,0.140699
3859,0.140699
3862,0.140699
3865,0.140666
3870,0.140666
3875,0.140666
3877,0.140329
3884,0.140328
3889,0.136977
3893,0.136977
3898,0.136977
3901,0.136971
3905,0.136971
3910,0.136971
3914,0.136971
3918,0.136971
3920,0.136971
3924,0.13697
3929,0.13697
3934,0.136968
3937,0.136968
3941,0.136968
3945,0.136958
3948,0.136958
3953,0.136936
3957,0.136936
3961,0.136936
3965,0.136936
3968,0.136936
3973,0.136899
3976,0.136899
3979,0.136846
3984,0.136713
3988,0.136713
3990,0.136713
3995,0.136713
4001,0.136713
4005,0.136559
4010,0.136554
4014,0.136554
4018,0.136538
4022,0.136538
4025,0.136538
4030,0.136538
4034,0.136538
4038,0.136538
4043,0.136538
4047,0.136538
4050,0.136538
4054,0.136538
4059,0.136533
4065,0.136533
4070,0.136529
4073,0.136529
4078,0.136529
4083,0.136467
4086,0.136467
4090,0.136467
4095,0.136466
4098,0.136383
4105,0.136383
4109,0.136383
4119,0.136383
4125,0.136383
4129,0.136383
4140,0.136054
4149,0.136054
4158,0.135604
4163,0.135604
4169,0.135604
4172,0.135447
4176,0.135074
4181,0.135074
4185,0.135074
4188,0.135074
4192,0.134931
4199,0.134931
4203,0.134931
4209,0.134931
4214,0.134035
4220,0.134034
4224,0.134034
4230,0.134034
4233,0.134034
4237,0.134034
4244,0.133967
4249,0.133967
4256,0.133967
4265,0.133967
4270,0.133967
4274,0.133785
4284,0.133785
4294,0.13377
4305,0.13377
4314,0.13377
4324,0.133766
4334,0.133763
4344,0.13336
4354,0.13336
4363,0.133351
4373,0.133351
4384,0.133234
4395,0.133219
4407,0.132857
4417,0.132857
4428,0.132856
4439,0.132856
