Time,score
32,0.124479
67,0.123092
102,0.123092
140,0.123092
140,0.123092
140,0.123092
140,0.123092
140,0.123092
140,0.123092
140,0.123092
140,0.123092
140,0.123092
140,0.123092
140,0.123092
141,0.123092
141,0.123092
141,0.123092
141,0.123092
141,0.123092
141,0.123092
141,0.123092
141,0.123092
141,0.123092
141,0.123092
141,0.123092
142,0.123092
142,0.123092
142,0.123092
142,0.123092
142,0.123092
142,0.123092
142,0.123092
142,0.123092
142,0.123092
142,0.123092
142,0.123092
142,0.123092
143,0.123092
143,0.123092
143,0.123092
143,0.123092
143,0.123092
143,0.123092
143,0.123092
143,0.123092
143,0.123092
143,0.123092
143,0.123092
143,0.123092
144,0.123092
144,0.123092
144,0.123092
144,0.123092
144,0.123092
144,0.123092
144,0.123092
144,0.123092
144,0.123092
144,0.123092
144,0.123092
145,0.123092
145,0.123092
145,0.123092
145,0.123092
145,0.123092
145,0.123092
145,0.123092
145,0.123092
145,0.123092
145,0.123092
145,0.123092
145,0.123092
146,0.123092
146,0.123092
146,0.123092
146,0.123092
146,0.123092
146,0.123092
146,0.123092
146,0.123092
146,0.123092
146,0.123092
146,0.123092
146,0.123092
147,0.123092
147,0.123092
147,0.123092
147,0.123092
147,0.123092
147,0.123092
147,0.123092
147,0.123092
147,0.123092
147,0.123092
147,0.123092
147,0.123092
148,0.123092
148,0.123092
148,0.123092
148,0.123092
148,0.123092
148,0.123092
148,0.123092
148,0.123092
148,0.123092
148,0.123092
148,0.123092
149,0.123092
149,0.123092
149,0.123092
149,0.123092
149,0.123092
149,0.123092
149,0.123092
149,0.123092
149,0.123092
149,0.123092
149,0.123092
149,0.123092
150,0.123092
150,0.123092
150,0.123092
150,0.123092
150,0.123092
150,0.123092
150,0.123092
150,0.123092
150,0.123092
150,0.123092
150,0.123092
150,0.123092
151,0.123092
151,0.123092
151,0.123092
151,0.123092
151,0.123092
151,0.123092
151,0.123092
151,0.123092
151,0.123092
151,0.123092
151,0.123092
151,0.123092
152,0.123092
152,0.123092
152,0.123092
152,0.123092
152,0.123092
152,0.123092
152,0.123092
152,0.123092
152,0.123092
152,0.123092
152,0.123092
153,0.123092
153,0.123092
153,0.123092
153,0.123092
153,0.123092
153,0.123092
153,0.123092
153,0.123092
153,0.123092
153,0.123092
153,0.123092
153,0.123092
154,0.123092
154,0.123092
154,0.123092
154,0.123092
154,0.123092
154,0.123092
154,0.123092
154,0.123092
154,0.123092
154,0.123092
154,0.123092
155,0.123092
155,0.123092
155,0.123092
155,0.123092
155,0.123092
155,0.123092
155,0.123092
155,0.123092
155,0.123092
155,0.123092
155,0.123092
156,0.123092
156,0.123092
156,0.123092
156,0.123092
156,0.123092
156,0.123092
156,0.123092
156,0.123092
156,0.123092
156,0.123092
156,0.123092
156,0.123092
157,0.123092
157,0.123092
157,0.123092
157,0.123092
157,0.123092
157,0.123092
157,0.123092
157,0.123092
157,0.123092
157,0.123092
157,0.123092
158,0.123092
158,0.123092
158,0.123092
158,0.123092
158,0.123092
158,0.123092
158,0.123092
158,0.123092
158,0.123092
158,0.123092
158,0.123092
158,0.123092
159,0.123092
159,0.123092
159,0.123092
159,0.123092
159,0.123092
159,0.123092
159,0.123092
159,0.123092
159,0.123092
159,0.123092
159,0.123092
160,0.123092
160,0.123092
160,0.123092
160,0.123092
160,0.123092
160,0.123092
160,0.123092
160,0.123092
160,0.123092
160,0.123092
160,0.123092
160,0.123092
161,0.123092
161,0.123092
161,0.123092
161,0.123092
161,0.123092
161,0.123092
161,0.123092
161,0.123092
161,0.123092
161,0.123092
161,0.123092
161,0.123092
162,0.123092
162,0.123092
162,0.123092
162,0.123092
162,0.123092
162,0.123092
162,0.123092
162,0.123092
162,0.123092
162,0.123092
162,0.123092
163,0.123092
163,0.123092
163,0.123092
163,0.123092
163,0.123092
163,0.123092
163,0.123092
163,0.123092
163,0.123092
163,0.123092
163,0.123092
163,0.123092
164,0.123092
164,0.123092
164,0.123092
164,0.123092
164,0.123092
164,0.123092
164,0.123092
164,0.123092
164,0.123092
164,0.123092
164,0.123092
165,0.123092
165,0.123092
165,0.123092
165,0.123092
165,0.123092
165,0.123092
165,0.123092
165,0.123092
165,0.123092
165,0.123092
165,0.123092
165,0.123092
166,0.123092
166,0.123092
166,0.123092
166,0.123092
166,0.123092
166,0.123092
166,0.123092
166,0.123092
166,0.123092
166,0.123092
166,0.123092
166,0.123092
167,0.123092
167,0.123092
167,0.123092
167,0.123092
167,0.123092
167,0.123092
167,0.123092
167,0.123092
167,0.123092
167,0.123092
167,0.123092
168,0.123092
168,0.123092
168,0.123092
168,0.123092
168,0.123092
168,0.123092
168,0.123092
168,0.123092
168,0.123092
168,0.123092
168,0.123092
168,0.123092
169,0.123092
169,0.123092
169,0.123092
169,0.123092
169,0.123092
169,0.123092
169,0.123092
169,0.123092
169,0.123092
169,0.123092
169,0.123092
169,0.123092
169,0.123092
170,0.123092
170,0.123092
170,0.123092
170,0.123092
170,0.123092
170,0.123092
170,0.123092
170,0.123092
