Time,score
59,0.247325
63,0.246267
66,0.245092
70,0.239031
73,0.23526
77,0.235221
81,0.221464
84,0.221464
88,0.221421
92,0.218042
95,0.216181
99,0.213757
103,0.212176
106,0.210417
110,0.205342
114,0.20323
117,0.200513
121,0.194681
124,0.194681
128,0.192795
132,0.192669
135,0.187464
139,0.186141
142,0.185461
146,0.182791
150,0.18131
153,0.181302
157,0.181001
161,0.181001
164,0.176144
168,0.176144
171,0.176091
175,0.173154
179,0.173154
182,0.167836
186,0.167811
190,0.167364
193,0.166549
197,0.166524
201,0.165999
204,0.165967
208,0.161941
211,0.156523
215,0.156523
219,0.156523
222,0.15652
226,0.155818
229,0.154925
233,0.154924
237,0.154393
240,0.153134
244,0.153016
247,0.151763
251,0.149812
255,0.149778
258,0.149723
262,0.145289
266,0.145275
269,0.145194
273,0.145194
277,0.144406
281,0.143381
284,0.143372
288,0.143179
292,0.141297
295,0.141281
299,0.13982
302,0.139782
306,0.138911
310,0.138889
313,0.138841
317,0.138277
320,0.138269
324,0.138172
328,0.137767
331,0.137734
335,0.136131
339,0.136128
342,0.136078
346,0.136077
350,0.136053
353,0.136051
357,0.134315
360,0.134315
364,0.134209
368,0.134144
371,0.133265
375,0.133265
378,0.132892
382,0.132845
385,0.13208
389,0.13208
393,0.132073
396,0.132059
400,0.129123
404,0.129122
408,0.128981
411,0.12898
415,0.128969
418,0.128968
422,0.128822
426,0.128815
429,0.128497
433,0.128497
436,0.128485
440,0.1269
444,0.121432
447,0.121422
451,0.121024
454,0.121024
458,0.121019
461,0.120988
465,0.120686
468,0.120685
472,0.120571
476,0.120454
479,0.120408
483,0.120392
487,0.120346
491,0.120303
494,0.120285
498,0.12026
501,0.120252
505,0.120228
508,0.120225
512,0.120195
516,0.120169
519,0.119681
523,0.119681
526,0.119535
530,0.119506
534,0.119504
537,0.119499
541,0.114629
544,0.114578
548,0.114409
551,0.114248
555,0.114248
559,0.113988
562,0.113988
566,0.109261
570,0.10926
573,0.109246
577,0.109
581,0.108999
584,0.108994
588,0.108969
592,0.108931
595,0.10893
599,0.108873
603,0.108827
606,0.108826
610,0.108821
613,0.108809
617,0.108786
621,0.108538
624,0.108538
628,0.108513
631,0.10851
635,0.108509
638,0.108496
642,0.108338
645,0.105446
649,0.105433
652,0.105425
656,0.1054
659,0.105325
663,0.105323
666,0.105321
670,0.105263
674,0.105188
677,0.105187
681,0.105178
685,0.105174
688,0.105174
692,0.105169
696,0.105158
699,0.105158
703,0.105145
707,0.10502
710,0.105018
714,0.105008
718,0.105007
722,0.105005
725,0.104947
729,0.104902
733,0.104901
736,0.104896
740,0.104894
744,0.104876
747,0.104699
751,0.104699
755,0.104699
758,0.104687
762,0.104478
766,0.104478
770,0.104477
773,0.104475
777,0.10447
780,0.104468
784,0.104447
788,0.104426
792,0.104426
796,0.104334
799,0.104334
803,0.104329
807,0.103593
810,0.103593
814,0.103583
817,0.103582
821,0.10358
825,0.103579
829,0.103577
832,0.10357
836,0.103564
840,0.103551
843,0.103551
847,0.103547
850,0.10354
854,0.103531
858,0.103528
861,0.103264
865,0.103247
868,0.103247
872,0.103245
876,0.103229
880,0.103228
884,0.10322
887,0.103218
891,0.103215
894,0.103195
898,0.103195
902,0.103178
905,0.102995
909,0.102995
913,0.102994
916,0.102993
920,0.102993
924,0.102979
928,0.102967
931,0.102967
935,0.102863
939,0.102859
942,0.102858
946,0.102857
950,0.102855
953,0.100671
957,0.10067
961,0.100667
965,0.100667
968,0.100664
972,0.100664
976,0.100655
980,0.100655
985,0.100655
990,0.100654
993,0.100653
997,0.100647
1001,0.100646
1004,0.100637
1008,0.100637
1012,0.100637
1015,0.100631
1019,0.100629
1022,0.100629
1026,0.100611
1030,0.100611
1034,0.10061
1037,0.10061
1041,0.10061
1044,0.10061
1048,0.100603
1052,0.100603
1055,0.100603
1059,0.100603
